--- ALL BAMBOO ENTRIES ---
Order: 2d7dd5 | Client: 2da66c | Status: PENDING_PRICING | Price: undefined | Date: 2026-03-12T09:09:39.700805+00:00 | Name: " 8-inch bamboo stick"
Order: 9edf8a | Client: 2da66c | Status: CANCELLED | Price: undefined | Date: 2026-03-12T08:57:21.484561+00:00 | Name: " 8-inch bamboo stick"
Order: d7c362 | Client: 2da66c | Status: DELIVERED | Price: 100 | Date: 2026-03-12T08:51:33.615259+00:00 | Name: " 8-inch bamboo stick"
Order: d7c362 | Client: 2da66c | Status: DELIVERED | Price: 23 | Date: 2026-03-12T08:51:33.615259+00:00 | Name: "9 inch bamboo stick"
Order: bc479e | Client: 3b4ca5 | Status: DELIVERED | Price: 100 | Date: 2026-03-12T07:38:26.174244+00:00 | Name: " 8-inch bamboo stick"
Order: e094b1 | Client: 3b4ca5 | Status: DELIVERED | Price: 100 | Date: 2026-03-12T07:28:36.495121+00:00 | Name: " 8-inch bamboo stick"
Order: e094b1 | Client: 3b4ca5 | Status: DELIVERED | Price: 89.97 | Date: 2026-03-12T07:28:36.495121+00:00 | Name: "9 inch bamboo stick"
Order: edda89 | Client: 32f8eb | Status: DELIVERED | Price: 23 | Date: 2026-03-11T10:07:12.725255+00:00 | Name: " 8-inch bamboo stick"
Order: 3da384 | Client: 32f8eb | Status: DELIVERED | Price: 33 | Date: 2026-03-09T09:47:51.060755+00:00 | Name: " 8-inch bamboo stick"
Order: 80eac0 | Client: 2da66c | Status: CANCELLED | Price: 1000.8 | Date: 2026-03-09T09:38:56.357642+00:00 | Name: "9 inch bamboo stick"
Order: 3469f0 | Client: 2da66c | Status: DELIVERED | Price: 55 | Date: 2026-03-09T09:37:38.707084+00:00 | Name: " 8-inch bamboo stick"
Order: 7a289f | Client: 75162d | Status: ORDER_CONFIRMED | Price: 159 | Date: 2026-03-09T09:28:31.044378+00:00 | Name: " 8-inch bamboo stick"
Order: 7a289f | Client: 75162d | Status: ORDER_CONFIRMED | Price: 250 | Date: 2026-03-09T09:28:31.044378+00:00 | Name: "9 inch bamboo stick"
Order: 6f1ea1 | Client: 75162d | Status: DELIVERED | Price: 159 | Date: 2026-03-09T08:29:15.566052+00:00 | Name: " 8-inch bamboo stick"
Order: 6f1ea1 | Client: 75162d | Status: DELIVERED | Price: 250 | Date: 2026-03-09T08:29:15.566052+00:00 | Name: "9 inch bamboo stick"
Order: 61cf12 | Client: 2da66c | Status: IN_TRANSIT | Price: 1221.8 | Date: 2026-03-06T16:35:31.434082+00:00 | Name: "9 inch bamboo stick"
Order: c1e2b9 | Client: 3b4ca5 | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-06T10:48:34.707522+00:00 | Name: " 8-inch bamboo stick"
Order: 2cfc62 | Client: 57c221 | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-06T04:24:05.700569+00:00 | Name: " 8-inch bamboo stick"
Order: 90dbfd | Client: 22f32b | Status: DELIVERED | Price: 331 | Date: 2026-03-05T09:19:29.295117+00:00 | Name: " 8-inch bamboo stick"
Order: 90dbfd | Client: 22f32b | Status: DELIVERED | Price: 233 | Date: 2026-03-05T09:19:29.295117+00:00 | Name: "9 inch bamboo stick"
Order: baeed7 | Client: 2da66c | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T09:18:17.366285+00:00 | Name: " 8-inch bamboo stick"
Order: baeed7 | Client: 2da66c | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T09:18:17.366285+00:00 | Name: "9 inch bamboo stick"
Order: c356b7 | Client: 6a9a2e | Status: DELIVERED | Price: 150 | Date: 2026-03-05T07:25:56.38869+00:00 | Name: " 8-inch bamboo stick"
Order: c356b7 | Client: 6a9a2e | Status: DELIVERED | Price: 240 | Date: 2026-03-05T07:25:56.38869+00:00 | Name: "9 inch bamboo stick"
Order: 931e20 | Client: 32a29e | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T07:24:58.040689+00:00 | Name: " 8-inch bamboo stick"
Order: 931e20 | Client: 32a29e | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T07:24:58.040689+00:00 | Name: "9 inch bamboo stick"
Order: 1f9d95 | Client: c79a6c | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T06:23:40.498104+00:00 | Name: " 8-inch bamboo stick"
Order: 53d34b | Client: 3b4ca5 | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T06:11:11.861799+00:00 | Name: "9 inch bamboo stick"
Order: e8c713 | Client: 3b4ca5 | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T06:06:57.449+00:00 | Name: " 8-inch bamboo stick"
Order: a8b129 | Client: 3b4ca5 | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T06:04:28.661104+00:00 | Name: " 8-inch bamboo stick"
Order: e9297b | Client: 3b4ca5 | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T06:01:17.442041+00:00 | Name: " 8-inch bamboo stick"
Order: c22a21 | Client: 3e9c21 | Status: DELIVERED | Price: 150 | Date: 2026-03-05T05:06:30.794224+00:00 | Name: "8 inch bamboo stick"
Order: 8687a4 | Client: 32a29e | Status: DELIVERED | Price: 170 | Date: 2026-03-05T04:54:40.315168+00:00 | Name: "8 inch bamboo stick"
Order: 8687a4 | Client: 32a29e | Status: DELIVERED | Price: 250 | Date: 2026-03-05T04:54:40.315168+00:00 | Name: "9 inch bamboo stick"
Order: 53db84 | Client: 3b4ca5 | Status: DELIVERED | Price: 222 | Date: 2026-03-05T04:27:54.080848+00:00 | Name: "8 inch bamboo stick"
Order: 6c9860 | Client: 32a29e | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-05T04:25:35.392351+00:00 | Name: "8 inch bamboo stick"
Order: eacebb | Client: 2da66c | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-02T07:50:42.285386+00:00 | Name: "8 inch bamboo stick"
Order: 6c1121 | Client: c79a6c | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-02T07:50:37.271293+00:00 | Name: "9 inch bamboo stick"
Order: 6c1121 | Client: c79a6c | Status: NEW_INQUIRY | Price: undefined | Date: 2026-03-02T07:50:37.271293+00:00 | Name: "8 inch bamboo stick"
Order: 75a6b4 | Client: 2da66c | Status: DELIVERED | Price: 23 | Date: 2026-03-02T06:15:52.069849+00:00 | Name: "8 inch bamboo stick"
