--- All bamboo items found ---
Order: df4ef10c-a6cb-478c-ba7e-38a10f75a6b4 | Status: DELIVERED | Name: "8 inch bamboo stick" | Price: 23 | Date: 2026-03-02T06:15:52.069849+00:00
Order: b07a9517-3b1a-45a5-b591-5eac0c6c1121 | Status: NEW_INQUIRY | Name: "9 inch bamboo stick" | Price: undefined | Date: 2026-03-02T07:50:37.271293+00:00
Order: b07a9517-3b1a-45a5-b591-5eac0c6c1121 | Status: NEW_INQUIRY | Name: "8 inch bamboo stick" | Price: undefined | Date: 2026-03-02T07:50:37.271293+00:00
Order: dcf3bee4-e04d-4c7d-9453-02ac90eacebb | Status: NEW_INQUIRY | Name: "8 inch bamboo stick" | Price: undefined | Date: 2026-03-02T07:50:42.285386+00:00
Order: 90f9a896-3eca-4f28-bae5-fe80d88687a4 | Status: DELIVERED | Name: "8 inch bamboo stick" | Price: 170 | Date: 2026-03-05T04:54:40.315168+00:00
Order: 90f9a896-3eca-4f28-bae5-fe80d88687a4 | Status: DELIVERED | Name: "9 inch bamboo stick" | Price: 250 | Date: 2026-03-05T04:54:40.315168+00:00
Order: 30b4a4be-ac32-4668-b6e6-7432956c9860 | Status: NEW_INQUIRY | Name: "8 inch bamboo stick" | Price: undefined | Date: 2026-03-05T04:25:35.392351+00:00
Order: 7e5e6b25-06cc-4b9b-b7c7-96051b53db84 | Status: DELIVERED | Name: "8 inch bamboo stick" | Price: 222 | Date: 2026-03-05T04:27:54.080848+00:00
Order: 2a19af62-4142-4afb-9ac0-ec013c1f9d95 | Status: NEW_INQUIRY | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-05T06:23:40.498104+00:00
Order: 7504efe3-c1fb-4748-9aad-2e221ac22a21 | Status: DELIVERED | Name: "8 inch bamboo stick" | Price: 150 | Date: 2026-03-05T05:06:30.794224+00:00
Order: 4e02aa2f-abb3-43c1-8bc3-24bae0e9297b | Status: NEW_INQUIRY | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-05T06:01:17.442041+00:00
Order: 0bfbaf9f-030c-49ad-85a0-2ad442931e20 | Status: NEW_INQUIRY | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-05T07:24:58.040689+00:00
Order: 0bfbaf9f-030c-49ad-85a0-2ad442931e20 | Status: NEW_INQUIRY | Name: "9 inch bamboo stick" | Price: undefined | Date: 2026-03-05T07:24:58.040689+00:00
Order: 2c507416-700a-4d79-be42-cfb6cfa8b129 | Status: NEW_INQUIRY | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-05T06:04:28.661104+00:00
Order: c7d0fd7e-3d8e-461e-a2ae-ebbb74e8c713 | Status: NEW_INQUIRY | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-05T06:06:57.449+00:00
Order: 1b850f83-cbe8-4933-b43a-34f25453d34b | Status: NEW_INQUIRY | Name: "9 inch bamboo stick" | Price: undefined | Date: 2026-03-05T06:11:11.861799+00:00
Order: 3af54a36-ca0e-432e-bece-b0c0a83469f0 | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 55 | Date: 2026-03-09T09:37:38.707084+00:00
Order: 80c69abd-d864-453c-b5c4-8e4528baeed7 | Status: NEW_INQUIRY | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-05T09:18:17.366285+00:00
Order: 80c69abd-d864-453c-b5c4-8e4528baeed7 | Status: NEW_INQUIRY | Name: "9 inch bamboo stick" | Price: undefined | Date: 2026-03-05T09:18:17.366285+00:00
Order: a0963300-0924-4fed-9195-2f22d8c356b7 | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 150 | Date: 2026-03-05T07:25:56.38869+00:00
Order: a0963300-0924-4fed-9195-2f22d8c356b7 | Status: DELIVERED | Name: "9 inch bamboo stick" | Price: 240 | Date: 2026-03-05T07:25:56.38869+00:00
Order: 5c022959-ff1b-4ffe-b736-42916fc1e2b9 | Status: NEW_INQUIRY | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-06T10:48:34.707522+00:00
Order: d5e01448-5bac-4098-a6a8-c0ced16f1ea1 | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 159 | Date: 2026-03-09T08:29:15.566052+00:00
Order: d5e01448-5bac-4098-a6a8-c0ced16f1ea1 | Status: DELIVERED | Name: "9 inch bamboo stick" | Price: 250 | Date: 2026-03-09T08:29:15.566052+00:00
Order: 21a93c90-f7a2-4a09-a88b-3f25b090dbfd | Status: DELIVERED | Name: " 8-inch bamboo stick" | Price: 331 | Date: 2026-03-05T09:19:29.295117+00:00
Order: 21a93c90-f7a2-4a09-a88b-3f25b090dbfd | Status: DELIVERED | Name: "9 inch bamboo stick" | Price: 233 | Date: 2026-03-05T09:19:29.295117+00:00
Order: 601565ff-9e01-4f30-b9c6-e66c0d2cfc62 | Status: NEW_INQUIRY | Name: " 8-inch bamboo stick" | Price: undefined | Date: 2026-03-06T04:24:05.700569+00:00
Order: 5ed3db36-1727-45f1-aa73-9f0a2b61cf12 | Status: IN_TRANSIT | Name: "9 inch bamboo stick" | Price: 1221.8 | Date: 2026-03-06T16:35:31.434082+00:00
